ID,Stock,IC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
118,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
119,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
120,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
121,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
122,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
123,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
124,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
125,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
126,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
127,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
128,main,450,00,00,00,00,00,00,00,00,00,00,00,00,00
129,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
130,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
131,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
132,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
133,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
134,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
135,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
136,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
137,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
138,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
139,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
140,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
141,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
142,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
143,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
144,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
145,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
146,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
147,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
148,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
149,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
150,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
151,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
152,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
153,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
154,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
155,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
156,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
157,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
158,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
159,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
160,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
161,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
162,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
163,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
164,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
165,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
166,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
167,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
168,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
169,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
170,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
171,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
172,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
173,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
174,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
175,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
176,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
177,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
178,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
179,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
180,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
181,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
182,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
183,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
184,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
185,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
186,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
187,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
188,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
189,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
190,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
191,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
192,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
193,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
194,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
195,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
196,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
197,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
198,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
199,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
200,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
201,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
202,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
203,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
204,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
205,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
206,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
207,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
208,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
209,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
210,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
211,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
212,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
213,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
214,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
215,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
216,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
217,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
218,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
219,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
220,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
221,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
222,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
223,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
224,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
225,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
226,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
227,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
228,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
229,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
230,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
231,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
232,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
233,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
234,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
235,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
236,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
237,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
238,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
239,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
240,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
241,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
242,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
243,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
244,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
245,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
246,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
247,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
248,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
249,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
250,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
251,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
252,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
253,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
254,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
255,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
256,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
257,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
258,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
259,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
260,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
261,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
262,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
263,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
264,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
265,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
266,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
267,Anniversary,10000,00,00,00,00,00,00,00,00,00,00,00,00,00
268,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
269,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
270,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
271,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
272,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
273,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
274,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
275,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
276,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
277,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
278,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
279,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
280,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
281,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
282,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
283,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
284,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
285,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
286,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
287,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
288,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
289,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
290,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
291,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
292,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
293,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
294,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
295,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
296,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
297,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
298,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
299,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
300,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
301,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
302,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
303,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
304,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
305,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
306,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
307,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
308,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
309,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
310,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
311,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
312,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
313,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
314,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
315,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
316,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
317,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
318,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
319,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
320,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
321,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
322,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
323,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
324,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
325,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
326,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
327,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
328,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
329,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
330,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
331,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
332,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
333,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
334,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
335,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
336,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
337,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
338,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
339,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
340,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
341,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
342,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
343,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
344,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
345,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
346,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
347,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
348,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
349,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
350,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
351,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
352,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
353,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
354,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
355,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
356,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
357,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
358,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
359,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
360,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
361,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
362,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
363,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
364,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
365,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
366,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
367,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
368,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
369,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
370,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
371,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
372,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
373,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
374,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
375,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
376,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
377,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
378,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
379,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
380,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
381,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
382,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
383,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
384,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
385,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
386,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
387,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
388,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
389,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
390,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
391,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
392,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
393,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
394,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
395,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
396,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
397,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
398,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
399,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
400,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
401,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
402,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
403,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
404,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
405,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
406,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
407,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
408,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
409,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
410,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
411,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
412,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
413,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
414,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
415,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
416,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
417,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
418,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
419,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
420,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
421,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
422,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
423,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
424,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
425,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
426,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
427,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
428,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
429,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
430,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
431,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
432,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
433,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
434,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
