ID,Name,Category,Rarity,Value
462,Everything Engineering,Book,2,444
463,Book of Travel,Book,5,14375
464,Book of Gems,Book,1,500
465,Book of Plushies,Book,1,409
466,F360 Console,Toy,4,20500
467,F360 Controller,Toy,4,10000
468,F360 Cords,Toy,4,7999
469,F360 Complete Set,Toy,5,23050
470,???,None,0,0
471,???,None,0,0
472,Eat Ice,Toy,4,5499
473,???,None,0,0
474,???,None,0,0
475,Loryns Creed,Toy,3,1800
476,???,None,0,0
477,Pirates of Port Rakor,Toy,4,7000
478,Resident Ori 5,Toy,4,6755
479,???,None,0,0
480,Maple Syrup,Food,3,850
481,Maple Bark,Food,2,789
482,Maple Tree Book,Book,4,7650
483,???,None,0,0
484,Black Snow Jar,Morph,3,8000
485,Brown Snow Jar,Morph,3,8000
486,Grey Snow Jar,Morph,3,8000
487,Orange Snow Jar,Morph,3,8000
488,Pink Snow Jar,Morph,3,8000
489,Purple Snow Jar,Morph,3,8000
490,Turquoise Snow Jar,Morph,4,12450
491,???,None,0,0
492,White Snow Jar,Morph,3,8000
493,???,None,0,0
494,Nuclear Cream Pie,Food,4,8500
495,???,None,0,0
496,???,None,0,0
497,???,None,0,0
498,???,None,0,0
499,???,None,0,0
500,Combination Lock,Misc,2,1155
501,???,None,0,0
502,???,None,0,0
503,???,None,0,0
504,???,None,0,0
505,???,None,0,0
506,???,None,0,0
507,Broken Sword,Battle Item,3,4115
508,???,None,0,0
509,???,None,0,0
510,???,None,0,0
511,???,None,0,0
512,???,None,0,0
513,???,None,0,0
514,Energy Shake,Food,4,1000
515,???,None,0,0
516,???,None,0,0
517,Black Bubble Tea,Food,1,265
518,Galactic Hammer,Battle Item,4,5218
519,Galactic Ice Cube,Ice Cube,4,5400
520,Wulfer Bonanza,Food,4,2435
521,Pink Plastic Tea Set,Toy,2,505
522,Solid Gold Tea Set,Misc,5,14893
523,Fake Cooking Set,Toy,1,471
524,Magical Strawberry Swirl Plush,Plushie,5,1950
525,???,None,0,0
526,Sock Puppet,Toy,1,625
527,Plastic Pickaxe,Toy,1,410
528,Fake Shrink Ray,Toy,4,2743
529,???,None,0,0
530,???,None,0,0
531,???,None,0,0
532,???,None,0,0
533,???,None,0,0
534,???,None,0,0
535,???,None,0,0
536,???,None,0,0
537,???,None,0,0
538,???,None,0,0
539,???,None,0,0
540,???,None,0,0
541,???,None,0,0
542,???,None,0,0
543,???,None,0,0
544,???,None,0,0
545,???,None,0,0
546,???,None,0,0
547,???,None,0,0
548,Blue Ducky,Toy,3,4850
549,Yellow Ducky,Toy,1,800
550,Dark Chocolate Audril,Food,4,8400
551,Dark Chocolate Ori,Food,4,7200
552,Dark Chocolate Ridix,Food,4,6250
553,Dark Chocolate Sharshel,Food,4,5465
554,Dark Chocolate Wulfer,Food,4,5480
555,Milk Chocolate Audril,Food,2,436
556,Milk Chocolate Ori,Food,2,380
557,Milk Chocolate Ridix,Food,2,524
558,Milk Chocolate Sharshel,Food,2,700
559,Milk Chocolate Wulfer,Food,2,482
560,White Chocolate Audril,Food,3,1400
561,White Chocolate Ori,Food,3,1227
562,White Chocolate Ridix,Food,3,1246
563,White Chocolate Sharshel,Food,3,1104
564,White Chocolate Wulfer,Food,3,1104
565,Green Ducky,Toy,3,740
566,Grey Ducky,Toy,2,660
567,Orange Ducky,Toy,2,465
568,Purple Ducky,Toy,4,2750
569,Red Ducky,Toy,6,935
570,???,None,0,0
571,Jar of Pickles,Food,3,860
572,Bear Trap,Battle Item,4,4966
573,Haunted Drumstick,Food,4,2689
574,Drumstick,Food,4,2689
575,Shield of Meteora,Battle Item,5,6512
576,Storm Snow Jar,Morph,5,27000
577,Grape Jelly Biscuit Stamp,Stamp,3,1005
578,???,None,0,0
579,???,None,0,0
580,???,None,0,0
581,Ice Wand,Battle Item,3,4444
582,Wind Wand,Battle Item,3,1700
583,Fire Sword,Toy,1,150
584,Wind Sword,Toy,1,190
585,Ice Snowball,Battle Item,1,157
586,Wind Snowball,Battle Item,1,701
587,Wind Fireball,Battle Item,2,810
588,Blue Glow Stick,Toy,2,371
589,Green Glow Stick,Toy,1,119
590,Red Glow Stick,Toy,2,188
591,Purple Glow Stick,Toy,3,234
592,Yellow Glow Stick,Toy,1,57
593,Light Blue Ducky,Toy,2,324
594,Pink Ducky,Toy,3,973
595,Xylophone,Toy,4,7600
596,Blue Ducky Stamp,Stamp,3,689
597,Green Ducky Stamp,Stamp,2,436
598,Grey DUCK! Stamp,Stamp,5,6627
599,Orange Ducky Stamp,Stamp,2,436
600,Toy Trunk Stamp,Stamp,3,679
601,Just Ducky Stamp,Stamp,3,826
602,Reverse Pink Ducky Stamp,Stamp,4,3762
603,Upside Down Ducky Stamp,Stamp,4,3169
604,Ducky Stamp,Stamp,3,689
605,Broken Ship Stamp,Stamp,3,693
606,Black Balloon Stamp,Stamp,3,825
607,Sock Puppet Stamp,Stamp,4,2186
608,Glacial Ridix Stamp,Stamp,2,366
609,Black Hand Mirror,Beauty,2,364
610,Black Lipstick,Beauty,2,462
611,Blue Lipstick,Beauty,2,215
612,Bronze Hand Mirror,Beauty,2,469
613,Gold Hand Mirror,Beauty,4,4298
614,Green Lipstick,Beauty,2,495
615,Chilly Lipstick,Beauty,4,2197
616,Orange Lipstick,Beauty,2,536
617,Pink Lipstick,Beauty,3,746
618,Red Lipstick,Beauty,2,298
619,Silver Hand Mirror,Beauty,3,2148
620,Chocolate Wulfer Stamp,Stamp,3,765
621,Nuclear Pie Stamp,Stamp,3,697
622,Bubblicious Stamp,Stamp,2,367
623,Hazel Stamp,Stamp,4,2172
624,Health Stamp,Stamp,2,264
625,Flash Game Clearer,Misc,6,6500
626,Shop Size Upgrade,Misc,4,2500
627,???,None,0,0
628,Yellow Wulfer Morphing Potion,Morph,2,3000
629,White Wulfer Morphing Potion,Morph,3,7000
630,Storm Wulfer Morphing Potion,Morph,5,13000
631,Red Wulfer Morphing Potion,Morph,2,3000
632,Purple Wulfer Morphing Potion,Morph,3,7000
633,Pink Wulfer Morphing Potion,Morph,3,6000
634,Orange Wulfer Morphing Potion,Morph,3,6000
635,Glacial Wulfer Morphing Potion,Morph,4,9000
636,Grey Wulfer Morphing Potion,Morph,3,7000
637,Green Wulfer Morphing Potion,Morph,2,3000
638,Brown Wulfer Morphing Potion,Morph,3,8000
639,Blue Wulfer Morphing Potion,Morph,2,3000
640,Turquoise Wulfer Morphing Potion,Morph,4,8922
641,Black Wulfer Morphing Potion,Morph,3,7000
642,???,None,0,0
643,???,None,0,0
644,???,None,0,0
645,???,None,0,0
646,???,None,0,0
647,???,None,0,0
648,???,None,0,0
649,???,None,0,0
650,???,None,0,0
651,???,None,0,0
652,???,None,0,0
653,???,None,0,0
654,???,None,0,0
655,???,None,0,0
656,Yellow Trido Morphing Potion,Morph,2,4000
657,???,None,0,0
658,White Trido Morphing Potion,Morph,3,8000
659,???,None,0,0
660,Purple Trido Morphing Potion,Morph,3,8000
661,Red Trido Morphing Potion,Morph,2,4000
662,Orange Trido Morphing Potion,Morph,3,8000
663,Pink Trido Morphing Potion,Morph,3,8000
664,???,None,0,0
665,Glacial Trido Morphing Potion,Morph,4,10000
666,Grey Trido Morphing Potion,Morph,3,8000
667,Green Trido Morphing Potion,Morph,2,4000
668,???,None,0,0
669,Blue Trido Morphing Potion,Morph,2,4000
670,Turquoise Trido Morphing Potion,Morph,4,22114
671,Black Trido Morphing Potion,Morph,3,8000
672,Yellow Sharshel Morphing Potion,Morph,2,4000
673,White Sharshel Morphing Potion,Morph,3,8000
674,Storm Sharshel Morphing Potion,Morph,5,50000
675,Red Sharshel Morphing Potion,Morph,2,4000
676,Purple Sharshel Morphing Potion,Morph,3,8000
677,Pink Sharshel Morphing Potion,Morph,3,8000
678,Orange Sharshel Morphing Potion,Morph,3,8000
679,???,None,0,0
680,Glacial Sharshel Morphing Potion,Morph,4,10000
681,Grey Sharshel Morphing Potion,Morph,3,8000
682,Green Sharshel Morphing Potion,Morph,2,4000
683,Brown Sharshel Morphing Potion,Morph,3,8000
684,Blue Sharshel Morphing Potion,Morph,2,4000
685,Turquoise Sharshel Morphing Potion,Morph,4,12345
686,Black Sharshel Morphing Potion,Morph,3,8000
687,Yellow Ridix Morphing Potion,Morph,2,4000
688,White Ridix Morphing Potion,Morph,3,8000
689,Gold Kiwifruit,Food,3,783
690,Red Ridix Morphing Potion,Morph,2,4000
691,Purple Ridix Morphing Potion,Morph,3,8000
692,Pink Ridix Morphing Potion,Morph,3,8000
693,Orange Ridix Morphing Potion,Morph,3,8000
694,???,None,0,0
695,Glacial Ridix Morphing Potion,Morph,4,10000
696,Grey Ridix Morphing Potion,Morph,3,8000
697,Green Ridix Morphing Potion,Morph,2,4000
698,???,None,0,0
699,Blue Ridix Morphing Potion,Morph,2,4000
700,Turquoise Ridix Morphing Potion,Morph,3,12333
701,Black Ridix Morphing Potion,Morph,3,8000
702,Yellow Ori Morphing Potion,Morph,2,3000
703,White Ori Morphing Potion,Morph,3,7000
704,Storm Ori Morphing Potion,Morph,5,13232
705,Red Ori Morphing Potion,Morph,2,3000
706,Purple Ori Morphing Potion,Morph,3,7000
707,Pink Ori Morphing Potion,Morph,3,7000
708,Orange Ori Morphing Potion,Morph,3,7000
709,???,None,0,0
710,Glacial Ori Morphing Potion,Morph,4,9000
711,Grey Ori Morphing Potion,Morph,3,7000
712,Green Ori Morphing Potion,Morph,2,3000
713,Brown Ori Morphing Potion,Morph,3,8000
714,Blue Ori Morphing Potion,Morph,2,3000
715,Turquoise Ori Morphing Potion,Morph,3,11001
716,Black Ori Morphing Potion,Morph,3,8000
717,Yellow Audril Morphing Potion,Morph,2,4000
718,White Audril Morphing Potion,Morph,3,8000
719,Green Kiwifruit,Food,2,372
720,Red Audril Morphing Potion,Morph,2,4000
721,Purple Audril Morphing Potion,Morph,3,8000
722,Pink Audril Morphing Potion,Morph,3,8000
723,Orange Audril Morphing Potion,Morph,3,8000
724,???,None,0,0
725,Glacial Audril Morphing Potion,Morph,4,10000
726,Grey Audril Morphing Potion,Morph,3,8000
727,Green Audril Morphing Potion,Morph,2,4000
728,???,None,0,0
729,Blue Audril Morphing Potion,Morph,2,4000
730,Turquoise Audril Morphing Potion,Morph,3,12107
731,Black Audril Morphing Potion,Morph,3,8000
732,Red Beanie,Beauty,4,2650
733,Orange Beanie,Beauty,2,249
734,Green Beanie,Beauty,3,446
735,Blue Beanie,Beauty,5,7650
736,Purple Beanie,Beauty,5,19850
737,???,None,0,0
738,???,None,0,0
739,Treasure Chest,Misc,6,5000
740,???,None,0,0
741,???,None,0,0
742,???,None,0,0
743,???,None,0,0
744,Space Quest Stamp,Stamp,3,762
745,Shop Searcher Stamp,Stamp,4,2143
746,Messaging Stamp,Stamp,4,2485
747,???,None,0,0
748,???,None,0,0
749,???,None,0,0
750,???,None,0,0
751,Gold Drop Necklace,Beauty,4,5667
752,Silver Drop Earrings,Beauty,4,3003
753,Silver Drop Necklace,Beauty,4,5667
754,Daisy Chain Necklace,Beauty,3,400
755,Gold Drop Earrings,Beauty,4,3003
756,???,None,0,0
757,Hippie Pants,Beauty,2,332
758,Ice Hat,Beauty,1,208
759,Ice Jacket,Beauty,2,443
760,Peace Sunglasses,Beauty,1,155
761,Custom Avatar,Misc,6,25000
762,Pet Name Changer,Misc,6,12500
763,???,None,0,0
764,Blue Wulfer Plushie,Plushie,2,573
765,Red Wulfer Plushie,Plushie,2,512
766,Yellow Wulfer Plushie,Plushie,2,545
767,Green Wulfer Plushie,Plushie,2,568
768,White Wulfer Plushie,Plushie,3,1534
769,Orange Wulfer Plushie,Plushie,2,765
770,Turquoise Wulfer Plushie,Plushie,3,694
771,Pink Wulfer Plushie,Plushie,3,530
772,Purple Wulfer Plushie,Plushie,2,567
773,Cottoncandy Wulfer Plushie,Plushie,3,1894
774,Glacial Wulfer Plushie,Plushie,5,6989
775,Snowdrift Wulfer Plushie,Plushie,3,1980
776,Red Traptur Morphing Potion,Morph,2,6000
777,Orange Traptur Morphing Potion,Morph,3,10000
778,Yellow Traptur Morphing Potion,Morph,2,6000
779,Green Traptur Morphing Potion,Morph,2,6000
