ID,Description
294,Throw this wicked plant at your opponent and hope it latches on.
295,
296,
297,"Be careful, if your opponent uses a fire spell, this shield will burn up!"
298,
299,A hefty piece of wood outfitted with a couple of decent spikes.
300,
301,A beautiful gemstone with colours of a rainbow.
302,
303,
304,
305,
306,
307,
308,
309,
310,"This is like normal chalk, but it smells just like Senor Awesome!"
311,"This circular stamp features a Blueberry Ice Cream! The good thing about this one is that it won't melt on you in the sun. However, it may spontaneously combust."
312,Just a stamp that looks like its from many years ago and is made from a rock but has shape of a stamp and has a bone carved in it! - Made in honor of Jay.
313,"A stamp received for inviting a friend, just don't fight over it."
314,The glue tastes like candy! CAUTION: Glue is highly toxic.
315,"This stamp proves that you can read.. You can, can't you?"
316,"They say variety is the spice of life, which has nothing to do with this stamp."
317,For the kid inside you! Although you should probably get him out.
318,"They even added glitter to the stamp, which does not at all indicate a conspiracy against eggs."
319,NOTE: Keep this stamp below 32 degrees Fahrenheit or flesh eating ogres will claim your house as their breeding grounds.
320,"Officially named Terrafrost on October 11, 2014."
321,Give a paper cut to your enemies with this stamp!
322,A holographic trophy stamp?!? It's a witch! Burn it! Burn it!
323,"Displays a red icecube. That's right, Level 2's hide from stamps as well as you."
324,A highly explosive stamp that will detonate upon being licked. Totally 100% safe.
325,"If you dislike someone, get them a F360. If you hate them, get them this stamp."
326,
327,Ahhhh Choooo! What is making me sneeze!? Perhaps this Sneezing Powder? Brought to you by Michael's Prank Line.
328,
329,
330,
331,"Oh shoot! Looks like you won't be using this stamp anytime soon. Good thing it only cost you 1 IP, though!"
332,This is a reminder from the IPICS to collect your interest daily!
333,No one will steal your mail when you have a Trido Stamp guarding it.
334,The person on this stamp has yet to be seen anywhere on icepets...
335,What is it about this Stamp that makes it so rare? I bet it's the embroidery.
336,
337,Hopefully you use this Stamp on a letter that goes somewhere warm and dry.
338,A Jakrit with ears so big he's the only thing that stays dry during a hurricane.
339,
340,It looks like someone scribbled on this stamp in a hurry!
341,"The cuteness of an Ori without the annoyances of being asked ""Who"" every 15.5 seconds."
342,"This stamp has 4 sides! Shapes are fun, aren't they?"
343,Looks like you have an un-natural attraction to pixels. Pixels that are incredibly cute!
344,
345,This Wulfer became trapped inside this heart after failing his math test.
346,"If only that gold was real, it would make this fake crown worth so much more."
347,I wouldn't try eating those jewels if I were you...
348,The fake queen of fake Glacia once wore this fake crown.
349,"This necklace is so amazing, it glows!"
350,"If you like the colour of envy, then this necklace is for you!"
351,You'll look very regal if you wear this!
352,Raging with anger? Wear this to show everybody around you that they should stay away!
353,"Just like yellow snow you shouldn't be eating this, either."
354,
355,"The funny thing is, this tastes about one thousand times better then the medicine you give to your pets!"
356,"Doesn't this make you want to curl up next to a fire, then run around screaming because you are on fire?"
357,Everyone loves- or used to love- pie!
358,
359,
360,"This anti-nutritious candy gets super ultra sticky when wet, which is perfect for your sister's hair."
361,The poor little blueberries were rocking out when all of a sudden... they turned into candy!
362,You burn more calories eating this then you actually gain!
363,The creator of this used real grape rock from the mines of never-ending happiness to get this.
364,"Hmm.. I wonder what this tastes like. We're pretty sure it isn't poisonous, though."
365,Oh pretty! I'd bet this was made of real rainbow if I didn't already know it was!
366,It took years of mind-bending science to figure this super common item out.
367,"Someone once said that the quill is a deadly weapon. We don't know who said it, but he was right."
368,
369,
370,
371,"This will unleash the power of Neptune! Only about .001% of his power, but it still releases it!"
372,
373,
374,
375,Practice makes perfect; and you could certainly use this wooden lance purely for training... at least until you're ready for the real deal.
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,"The only cure to the common cold, and here you are left with no microwave."
388,
389,The potato has been a staple for centuries. Funded by LollyX.
390,This bowl of soup was flash frozen using the same amount of energy it takes to launch a space shuttle.
391,Oops... the chef missed the bowl when dropping the egg...
392,I dare you to use this to egg someones house!
393,I bet the sole purpose of this soup is to induce vomiting with its stomach-churning smell.
394,This is about 10 times more useful then it is thawed out.
395,
396,
397,
398,
399,
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,Learn everything you've ever wanted to know about the Snowslide Mountain Range's Aliteen Cliffs.
411,Smudges and tears are aplenty in this literature.
412,"In the original IcePets game Survivor, collecting these will increase your score by a total of 25."
413,"In the Survivor game, collecting these will temporarily protect you from the ice blocks."
414,"In the IcePets game, Survivor, these remove any obstacles in your path."
415,"In the IcePets game, Survivor, these will destroy all ice blocks on-screen when collected."
416,It makes your tongue all the colours of the rainbow! Delightful!
417,The cherry flavor and red swirls are almost... hypnotizing.
418,"Not exactly a common candy flavor, but it's super juicy and super delicious!"
419,This lollipop tastes exactly like a grape. You'd best eat it before... someone else does...
420,It even leaves the mucky feeling of artificial chocolate flavoring in the back of your throat!
421,"Don't worry, it's only kiwi flavored. It doesn't have any of that kiwi fuzz on it."
422,"Pucker up, Lollipop!"
423,"Oranges go with everything, this includes teeth rotting sugars on a stick."
424,This book has a couple great recipes for common household dishes.
425,Insights into the mind of a very intelligent Pet. I promise.
426,An overview of the formation and early history of Terrafrost.
427,
428,"A young, vain girl has an important epiphany that will change her life around, or so she thinks."
429,"Learn how to collect all your ice cubes, then flaunt it because you're the only person that will ever complete it."
430,Find the right toy for your pet.
431,"What happens in IcePets, all year round? This book will tell you everything about it!"
432,"Some love technology, some hate it, but we all depend on it!"
433,
434,"Got a sweet tooth? Got a sweet skull? Well, this is the book for you!"
435,"Illyana, a stubborn little blue Wulfer, decides to go against the wishes of her mother. Will she run into trouble, or have a great adventure?"
436,"Nature is abundant... well, on the internet at least."
437,An informative guide about doing your bit for the planet.
438,"This stamp has a depiction of the Misty Isle on it, how nice."
439,
440,"It's a Stamp, meaning it won't melt! Look at that lovely Traptur."
441,"Will I win one million IcePoints? The Magical Magic Eight Ball says: ""..."""
442,The sound is deadly... But it will surely make your Ridix extremely happy!
443,"This is for everyone that thinks black is their favorite colour, even though it's really a shade."
444,Rumor has it that this balloon gets its colour from the oceans...
445,This balloon has the odd smell of a grassy field...
446,"An orange balloon is a great gift for any Audril, careful though; This can burst at any moment!"
447,"Aww, the prefect gift for the girl in all of us!"
448,This is a grape-smelling balloon! How amazing is that?
449,This balloon is almost as red as lava!
450,Don't eat yellow balloons.
451,I don't get it... Whats opening?
452,A detailed guide of how to create powerful armour for battle and decor.
453,"An apple a day keeps the doctor away, but so do avocados and apricots!"
454,Simple tips that are useful in any battle.
455,Medicine can be praised for its benefits but some do have risks. Always read the label!
456,Benny's Stamp collection and tips.
457,"This book teaches a few ways to make wooden weapons, such a stake for slaying vampires."
458,"Do you want to get to know the various personalities of IcePets better? Well then, this is the book!"
459,A book only truly brave souls will enjoy.
460,Learn all about caring for your pet.
461,
462,"The only thing better than achieving your goals is, well, making them!"
463,"A small Dovu has a big adventure, travelling on an airplane for the first time!"
464,Novice and experienced treasure hunters alike will enjoy this Book on the gemstones found across Terrafrost and beyond!
465,"What's better, hide and seek or Plushies? How about both?"
466,No warranty included.
467,This will give you something to throw at the T.V. if your console poops out on you!
468,It's not like your game system is going to work anyways...
469,Congratulations! You just used half of your salary on a hunk-o-junk.
470,
471,
472,"The fun, addictive game of... Ice eating!!"
473,
474,
475,"Deep in the woods of Knollo, someone awaits. Become them and guide yourself through action-packed levels to become the ultimate hero."
476,
477,Arrrr! We gonna get our herbal tea?
478,Hey... thats not where a tongue goes!
479,
480,This is a scrumptious bottle of Maple Syrup straight from the wonderful people at Allan Corp.
481,Oddly enough this is very edible.
482,A book all about Maple Trees!
483,
484,"Does your Pet needs to hide? This is the closest thing to camouflage! At night, anyways."
485,Make your dream of a Brown Pet a reality!
486,"Can't quite afford an Ice Snow Jar? Well, this is the next best thing!"
487,"Ingredients used include oranges, snow, and Ridix teeth."
488,Everyone is free to look pretty in pink!
489,When 'blue' just isn't dark enough for you.
490,An enviable colour for any IcePet!
491,
492,"I'd be careful how you use this. One time, a Pet disappeared after use!"
493,
494,Ahhh! Napkins won't stop this monstrosity !
495,
496,
497,
498,
499,
500,What is Michael's birthday again?
501,
502,
503,
504,
505,
506,
507,Exactly what do you hope to gain by carrying this broken weapon?
508,
509,
510,
511,
512,
513,
514,"The secret is 10,000 grams of sugar in each glass."
515,
516,
517,This classic flavour has stood the test of time -- an old favourite of Bubble Tea drinkers everywhere!
518,One hit with this will send your opponent to space!
519,It's... not ice.. but we'll accept it.
520,This aught to put hairs on your chest!
521,Bringing out stereotypes since 1850!
522,Just because plastic is too cheap.
523,The plastic is known to cause complications.. so don't eat it.
524,This magical plushie will make your pet happy beyond belief!
525,
526,The original smelly guy who talks with a high-pitched voice!
527,All you need is a ski mask...
528,I don't see this shrinking anything anytime soon.
529,
530,
531,
532,
533,
534,
535,
536,
537,
538,
539,
540,
541,
542,
543,
544,
545,
546,
547,
548,It's blue. A little twist on the traditional 'Yellow Ducky'. Some say this is a Wulfer's favorite toy.
549,"Rubber ducky, you're the one!... A classic! All pets love Yellow Duckies!"
550,Mmmm. Full of Dark chocolate & Audril fur... But you can't taste the fur too much
551,"Dark Chocolate, Ori feathers & a pinch of cinnamon. Mmmm"
552,Legend has it the original Ridix that melted itself with chocolate was what inspired this amazing treat.
553,Be careful of the dark chocolate shell!
554,Wulfer's love dark chocolate... Not sure why one wanted to volunteer for this treat though!
555,Milk Chocolate goodness! No fur in this one either!
556,Feather free milk chocolate!
557,It's so cute! How could you eat this!?
558,One in every five does have a bit of shell. But its nearly shell free!
559,A tad creepy how it looks like the real thing...
560,How it got from milk chocolate to white is one of the wonders of Glacia.
561,Only the most natural of chocolates for those Ori lovers.
562,The most delectable of all the Ridix chocolates!
563,The only Sharshel chocolate with no shells at all!
564,If you feed these to any Ridix they may require more!
565,This one is quite slippery due to the greenish slime on this ones back.
566,This duck is perfect for when it rains. A little rubber Grey ducky!
567,This Orange Ducky was made specially for Wulfers. Since 'orange' is their favorite colour.
568,"Rumor is, something special happens when you play with your Ridix."
569,This toy NEVER breaks.
570,
571,"All the fun of a pickle, but in bonus size!!"
572,Ouch! Those spikes hurt!
573,Not intended for drumming.
574,Not intended for drumming.
575,Carry the proud emblem of Meteora while fighting off your enemies!
576,This Snow Jar sends a chill down your spine when you pick it up.
577,Mmmm... tasty.
578,
579,
580,
581,Attack your opponent with the pure wrath of ice.
582,Wind Wands are said to contain the power of ten million typhoons.
583,"Flames encase this sword, so use with caution when wielding."
584,Combat all enemies with this mighty sword that carries the strength of a hundred tornadoes!
585,It's all fun and games until someone mistakes ice for snow!
586,This snowball was made to be thrown into the wind! It will surely gain speed and hit your opponent 100x harder than any other normal snowball.
587,This fireball burns hotter than you can imagine!
588,One of the only toys that's okay to break!
589,Add to your room for a touch of... mystery.
590,This Glow stick seems rather haunting...
591,"For some reason, purple glow sticks always look the coolest."
592,So... very... bright!
593,A cute little ducky with a playful shade of blue.
594,This Pink ducky is all the rage in the world of Duck Collecting!
595,"Your basic, loud, high-pitched, multicoloured Xylophone!"
596,A beautiful blue ducky stamp with holographic backdrop action!
597,"Green, the colour of money. This Stamp should bring in some luck!"
598,A magical stamp created by the Ducky Awareness Society
599,How awesome would it be to see an Orange Ducky on an envelope!?
600,I think this shopkeeper deserved its own stamp!
601,Rather lonely if you ask me. Maybe you should use two stamps to mail it!
602,What's going on here!?
603,Okay I don't know which way the stamp goes.
604,Epic. Awesome... Ducky Stamp. The coolest of them all!
605,I guess the image was captured a little... late.
606,"Poor little balloon, lost in the wind."
607,The fact that this stamp is 3 dimensional is what makes it so rare.
608,The Ridix seen on this stamp outgrew his own fame.
609,That person looks just like you...
610,On your way to a poetry convention? This is the perfect touch-up.
611,"Get that ""Have you been eating popsicles?"" look in this glorious tube."
612,Because silver is a wee bit too shiny.
613,"This will make a ""SCHWING!"" sound when removing it from your cupboard."
614,Great for tree-hugging and/or tree-pretending conventions.
615,"Muahahaha, now your lips are stuck together!"
616,Want to stick out in a crowd? Cover your whole body in this.
617,"A classic ""You're not leaving the house with that"" moment!"
618,"Great for parties, or just showing off your wealth."
619,Try a little harder in the beauty contest next time...
620,"Wulfer, Double Team, now!"
621,This pie spent many years lurking in a fallout shelter... watching... waiting...
622,This Stamp is for the Bubble Tea lovers out there!
623,Fun Fact: Bob's nickname in high school was Bucky.
624,A Stamp a day keeps the doctor away?
625,"This Clearer will reset your plays today in all IcePets Flash Games. You will be able to send your score in all flash games again. (NOTE: This is a one-use item. Once you use it, it will disappear from your inventory)"
626,This item will upgrade your shop size by 1.
627,
628,Go from Black to Yellow and stain your eyes!
629,Pure. Pristine. Slobbery.
630,"Morph your pet into a diabolically cool, awesome, kick butt Storm Wulfer!"
631,"And they turn into... a Red Wulfer! Wow, boring!"
632,Turn your pet into a glorious purple Wulfer!
633,"Personally, I prefer Pink. Period."
634,Does not include Citrus Scent.
635,Poor thing won't be able to pant anymore :(
636,"Awww... why so grey, Wulfer?"
637,Just turns your pet into a Green Wulfer.
638,Well-trained Brown Wulfers are renowned for their herding abilities. Does your Pet have what it takes?
639,Go back to the basics with this Wulfer Morphing Potion!
640,Your Wulfer will love water when they're this colour!
641,"Dark as night, a Black Wulfer would make the perfect twilight scout. This Morphing Potion should do the trick!"
642,
643,
644,
645,
646,
647,
648,
649,
650,
651,
652,
653,
654,
655,
656,"Tridos have become very rare, existing for thousands of years is not an easy task!"
657,
658,"Wow! White Tridos are a 1 in 10,000 chance!"
659,
660,"Don't worry, it can still breathe."
661,Tridos are just naturally born red.
662,A genetic defect causes some Tridos to be orange!
663,Pink Tridos are naturally talented at Disco dancing!
664,
665,"Just be careful he doesn't, you know, melt."
666,"Aw, keep your chin up, Trido!"
667,"Hey! Your Trido looks like the friend of Barn- (Omitted for copyright infringement. Move along, nothing to see here!)"
668,
669,"It's a pretty shade of blue like the sky, but sadly, Tridos cannot fly."
670,"In this shade, the horns and scales almost look like gemstones!"
671,"Oooh, spooky!"
672,Yellow Sharshel. Try saying that 10 times quickly!
673,"Don't try and draw on your pet, I can assure you it won't work."
674,It was a dark and stormy night...
675,"The first colour in the rainbow, right here on a Sharshel!"
676,Purple or violet? We're not too sure but we'll settle with purple.
677,Oh... this Pet? In Pink? Perfect!
678,Citrus scent not included.
679,
680,"Brr... is it just you, or is it cold in here?"
681,"C'mon, there's no need to be sad!"
682,"Why would you buy this? Rather basic, don't you think?"
683,Looks like your Sharshel needs a bath!
684,Why use this when you could simply adopt a Blue Sharshel?
685,This aquatic shade is only natural for an amphibious IcePet like the Sharshel!
686,Don't turn off the light -- you're bound to lose sight of your Sharshel when you do!
687,"Your Ridix is so bright! No, really, I mean it. They're too bright. Change the colour before it blinds you!"
688,"This might look like an ordinary potion, but do not let that fool you. Use this to morph your Ridix."
689,You may find these kiwis in Novyn hoards from time to time...
690,The spots on your Ridix will be adorable and very red once you use this magic potion.
691,Is purple your favorite colour? If it's not then don't use this Morphing Potion on your Pet.
692,"If you're looking for an unusual colour and species combination, look no further than a Pink Ridix!"
693,"Oh, what a gorgeous shade of orange!"
694,
695,"Brr! Be warned, the bottle is cold to touch! It would be unfortunate if you lost a finger or two."
696,You should feel honoured to own a Pet in this exclusive colour!
697,Did you overfeed your pet with too many green foods? No? You only used a morphing potion? That was smart of you!
698,
699,"Blue looks good on any Pet, and a Ridix is no exception!"
700,This is exactly the colour your Ridix always dreamed of becoming.
701,"You might not ever get to own your own personal panther, but this Ridix comes pretty close!"
702,Your Ori can now be camouflaged with the sun!
703,Even your Ori's eyes will turn white with this potion.
704,"Is that thunder you hear? No, that's the sound of your new Storm Ori flapping his wings."
705,If only this potion made his beak red.
706,It's not too unusual to see a purple Ori.
